,orderNo,Salmon,Pork Chop,Sea Bass,Duck Breast,Swordfish,Pork Tenderloin,Filet Mignon,Roast Chicken,rowTotal,,,4253,
4024,130020,0,4,0,0,0,0,1,0,5,,Type of Meat,Count,Count
7850,137223,0,4,1,0,0,0,0,0,5,,Filet Mignon,180,4.2%
10632,142612,0,4,0,0,0,0,1,0,5,,Pork Chop,131,3.1%
12200,145584,0,4,0,1,0,0,0,0,5,,Sea Bass,127,3.0%
4093,130153,2,3,0,0,0,0,0,0,5,,Pork Tenderloin,111,2.6%
5329,132524,2,3,0,0,0,0,0,0,5,,Salmon,67,1.6%
5947,133653,2,3,0,0,0,0,0,0,5,,Swordfish,40,0.9%
6563,134777,2,3,0,0,0,0,0,0,5,,Duck Breast,38,0.9%
8083,137631,2,3,0,0,0,0,0,0,5,,Roast Chicken,2,0.0%
9424,140267,2,3,0,0,0,0,0,0,5,,,,
926,124148,1,3,0,0,1,0,0,0,5,,,,
971,124230,1,3,0,0,0,0,1,0,5,,,,
1215,124710,1,3,1,0,0,0,0,0,5,,,,
1383,125039,1,3,0,0,0,0,1,0,5,,,,
1709,125662,1,3,0,0,0,1,0,0,5,,,,
2224,126671,1,3,1,0,0,0,0,0,5,,,,
2331,126872,1,3,1,0,0,0,0,0,5,,,,
3423,128962,1,3,0,1,0,0,0,0,5,,,,
3990,129957,1,3,0,0,0,0,0,1,5,,,,
5016,131943,1,3,0,1,0,0,0,0,5,,,,
6069,133874,1,3,1,0,0,0,0,0,5,,,,
6248,134206,1,3,0,0,0,0,0,1,5,,,,
6564,134778,1,3,0,0,1,0,0,0,5,,,,
7037,135683,1,3,1,0,0,0,0,0,5,,,,
7120,135832,1,3,0,0,0,0,1,0,5,,,,
7181,135960,1,3,0,0,0,0,0,1,5,,,,
7956,137403,1,3,0,0,0,1,0,0,5,,,,
8032,137540,1,3,0,0,0,0,1,0,5,,,,
8464,138407,1,3,0,0,0,1,0,0,5,,,,
8630,138734,1,3,1,0,0,0,0,0,5,,,,
11192,143675,1,3,1,0,0,0,0,0,5,,,,
