Date,AAPL,GOOG,IBM,MARA,NVDA,AAPL_wr,GOOG_wr,IBM_wr,MARA_wr,NVDA_wr
1/16/2023,137.869995,99.28,141.2,8.07,178.39,,,,,
1/23/2023,145.929993,100.709999,134.389999,8.02,203.649994,5.846085655,1.440369662,-4.822946884,-0.619578686,14.15998318
1/30/2023,154.5,105.220001,136.940002,7.07,211,5.87268376,4.478206777,1.897464855,-11.84538653,3.60913637
2/6/2023,151.009995,94.860001,135.600006,5.92,212.649994,-2.258902913,-9.846036782,-0.978527808,-16.26591231,0.781987678
2/13/2023,152.550003,94.589996,135.020004,7.7,213.880005,1.019805345,-0.284635249,-0.42773007,30.06756757,0.578420425
2/20/2023,146.710007,89.349998,130.570007,6.67,232.860001,-3.828250334,-5.539695762,-3.295805709,-13.37662338,8.874132951
2/27/2023,151.029999,94.019997,129.639999,6.38,238.899994,2.944578961,5.226635819,-0.712267711,-4.347826087,2.593830187
3/6/2023,148.5,91.010002,125.449997,5.33,229.649994,-1.675163224,-3.201441285,-3.23202872,-16.45768025,-3.871913032
3/13/2023,155,102.459999,123.690002,8.17,257.25,4.377104377,12.58103148,-1.40294543,53.28330206,12.01829163
3/20/2023,160.25,106.059998,125.290001,7.81,267.790009,3.387096774,3.513565328,1.293555642,-4.406364749,4.097185228
3/27/2023,164.899994,104,131.089996,8.72,277.769989,2.901712324,-1.942294964,4.629256089,11.65172855,3.726793258
4/3/2023,164.660004,108.900002,130.5,7.98,270.369995,-0.145536694,4.711540385,-0.450069432,-8.486238532,-2.66407254
4/10/2023,165.210007,109.459999,128.139999,11.97,267.579987,0.334023434,0.514230477,-1.808429885,50,-1.0319222
4/17/2023,165.020004,105.910004,125.730003,8.93,271.190002,-0.115006956,-3.243189323,-1.880752317,-25.3968254,1.349134904
4/24/2023,169.679993,108.220001,126.410004,10.07,277.48999,2.823893399,2.181094243,0.540842268,12.76595745,2.323090067
5/1/2023,173.570007,106.214996,123.650002,10.49,286.799988,2.292559029,-1.852712051,-2.183373082,4.170804369,3.355075259
5/8/2023,172.570007,117.919998,122.839996,8.92,283.399994,-0.576136406,11.02010304,-0.65507965,-14.96663489,-1.185493076
5/15/2023,175.160004,123.25,127.260002,9.18,312.640015,1.500838439,4.520015341,3.598181491,2.914798206,10.31757996
5/22/2023,175.429993,125.43,128.889999,8.93,389.459991,0.154138498,1.768762677,1.280839992,-2.723311547,24.57138316
5/29/2023,180.949997,125.230003,132.419998,10.03,393.269989,3.146556587,-0.159449095,2.738768739,12.31802912,0.978277124
6/5/2023,180.960007,122.870003,135.300003,9.38,387.700012,0.005531915,-1.884532415,2.17490186,-6.480558325,-1.416323939
6/12/2023,184.919998,124.059998,137.479996,9.98,426.920013,2.188323854,0.968499203,1.611229085,6.396588486,10.11606907
6/19/2023,186.679993,123.019997,129.429993,12.71,422.089996,0.951760231,-0.838304866,-5.855399501,27.35470942,-1.131363453
6/26/2023,193.970001,120.970001,133.809998,13.86,423.019989,3.905082641,-1.666392497,3.384072655,9.047993706,0.2203305
7/3/2023,190.679993,120.139999,132.080002,15.67,425.029999,-1.696142694,-0.686122173,-1.292874991,13.05916306,0.475157215
7/10/2023,190.690002,125.699997,133.399994,18.07,454.690002,0.005249109,4.627932451,0.999388234,15.31589024,6.978331664
7/17/2023,191.940002,120.309998,138.940002,16.879999,443.089996,0.655514178,-4.287986578,4.152929722,-6.585506364,-2.55119003
7/24/2023,195.830002,133.009995,143.449997,16.700001,467.5,2.026674981,10.55606118,3.246001825,-1.066338926,5.509039748
7/31/2023,181.990005,128.539993,144.240005,15.83,446.799988,-7.067352734,-3.360651205,0.550720123,-5.209586514,-4.427810053
8/7/2023,177.789993,130.169998,143.119995,14.88,408.549988,-2.307825641,1.268091714,-0.776490544,-6.001263424,-8.56087758
8/14/2023,174.490005,128.110001,141.410004,11.28,432.98999,-1.856115715,-1.582543621,-1.194795318,-24.19354839,5.982132595
8/21/2023,178.610001,130.690002,145.350006,10.55,460.179993,2.361164469,2.013895074,2.786225789,-6.471631206,6.279591591
8/28/2023,189.460007,136.800003,147.940002,12,485.089996,6.074691193,4.675186247,1.781902919,13.74407583,5.413099956
9/4/2023,178.179993,137.199997,147.679993,10.91,455.720001,-5.953770497,0.292393268,-0.175753006,-9.083333333,-6.054545598
9/11/2023,175.009995,138.300003,145.990005,9.8,439,-1.779098734,0.801753662,-1.144358126,-10.17415215,-3.668919723
9/18/2023,174.789993,131.25,146.910004,8.67,416.100006,-0.125708249,-5.097615941,0.630179443,-11.53061224,-5.216399544
9/25/2023,171.210007,131.850006,140.300003,8.5,434.98999,-2.048164165,0.457147429,-4.499353904,-1.960784314,4.539770182
10/2/2023,177.490005,138.729996,142.029999,8.08,457.619995,3.668008728,5.218042993,1.233069111,-4.941176471,5.202419715
10/9/2023,178.850006,138.580002,138.460007,7.71,454.609985,0.766240893,-0.108119372,-2.51354786,-4.579207921,-0.657753165
10/16/2023,172.880005,136.740005,137.160004,7.76,413.869995,-3.337993178,-1.327750739,-0.93890144,0.648508431,-8.961525559
10/23/2023,168.220001,123.400002,142.520004,8.86,405,-2.695513573,-9.755742659,3.907844739,14.17525773,-2.143183876
10/30/2023,176.649994,130.369995,147.899994,9.41,450.049988,5.011290542,5.648292453,3.774901662,6.207674944,11.12345383
11/6/2023,186.399994,134.059998,149.020004,9.61,483.350006,5.519388809,2.830408178,0.757275217,2.125398512,7.399182066
11/13/2023,189.690002,136.940002,152.889999,10,492.980011,1.765025808,2.148294825,2.596963425,4.058272633,1.992346101
11/20/2023,189.970001,138.220001,155.179993,11.41,477.76001,0.147608728,0.93471519,1.497804968,14.1,-3.087346477
11/27/2023,191.240005,133.320007,160.550003,13.7,467.649994,0.668528712,-3.545068705,3.460504087,20.07011394,-2.116128556
12/4/2023,195.710007,136.639999,161.960007,16.780001,475.059998,2.337378102,2.490242894,0.878233556,22.48175912,1.584519212
12/11/2023,197.570007,133.839996,162.229996,18.290001,488.899994,0.950385741,-2.049182538,0.16670103,8.998807569,2.913315383
12/18/2023,193.600006,142.720001,162.139999,26.709999,488.299988,-2.00941482,6.63479174,-0.055474944,46.03607184,-0.122725712
12/25/2023,192.529999,140.929993,163.550003,23.49,495.220001,-0.552689549,-1.254209632,0.86962132,-12.05540667,1.417164278
1/1/2024,181.179993,137.389999,159.160004,24.120001,490.970001,-5.895188313,-2.5118812,-2.684193775,2.681996594,-0.858204433
1/8/2024,185.919998,144.240005,165.800003,18.98,547.099976,2.616185662,4.985811231,4.171901755,-21.31011935,11.4324653
1/15/2024,191.559998,147.970001,171.479996,16.129999,594.909973,3.033562855,2.585964969,3.42580995,-15.01581138,8.738804441
1/22/2024,192.42,153.79,187.42,17.85,596.539978,0.448946549,3.933229006,9.295547219,10.66336706,0.273991877
