datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/16 0:00,RFC,WEST,AEP,AEPAPT,4064.992,TRUE
1/1/16 1:00,RFC,WEST,AEP,AEPAPT,4023.104,TRUE
1/1/16 2:00,RFC,WEST,AEP,AEPAPT,4009.598,TRUE
1/1/16 3:00,RFC,WEST,AEP,AEPAPT,4004.521,TRUE
1/1/16 4:00,RFC,WEST,AEP,AEPAPT,4080.944,TRUE
1/1/16 5:00,RFC,WEST,AEP,AEPAPT,4177.135,TRUE
1/1/16 6:00,RFC,WEST,AEP,AEPAPT,4316.69,TRUE
1/1/16 7:00,RFC,WEST,AEP,AEPAPT,4471.222,TRUE
1/1/16 8:00,RFC,WEST,AEP,AEPAPT,4574.792,TRUE
1/1/16 9:00,RFC,WEST,AEP,AEPAPT,4683.739,TRUE
1/1/16 10:00,RFC,WEST,AEP,AEPAPT,4761.989,TRUE
1/1/16 11:00,RFC,WEST,AEP,AEPAPT,4724.46,TRUE
1/1/16 12:00,RFC,WEST,AEP,AEPAPT,4646.809,TRUE
1/1/16 13:00,RFC,WEST,AEP,AEPAPT,4565.57,TRUE
1/1/16 14:00,RFC,WEST,AEP,AEPAPT,4480.358,TRUE
1/1/16 15:00,RFC,WEST,AEP,AEPAPT,4442.714,TRUE
1/1/16 16:00,RFC,WEST,AEP,AEPAPT,4563.601,TRUE
1/1/16 17:00,RFC,WEST,AEP,AEPAPT,4872.059,TRUE
1/1/16 18:00,RFC,WEST,AEP,AEPAPT,5023.575,TRUE
1/1/16 19:00,RFC,WEST,AEP,AEPAPT,5051.041,TRUE
1/1/16 20:00,RFC,WEST,AEP,AEPAPT,5052.057,TRUE
1/1/16 21:00,RFC,WEST,AEP,AEPAPT,5048.899,TRUE
1/1/16 22:00,RFC,WEST,AEP,AEPAPT,4953.722,TRUE
1/1/16 23:00,RFC,WEST,AEP,AEPAPT,4825.859,TRUE
1/2/16 0:00,RFC,WEST,AEP,AEPAPT,4751.231,TRUE
1/2/16 1:00,RFC,WEST,AEP,AEPAPT,4737.412,TRUE
1/2/16 2:00,RFC,WEST,AEP,AEPAPT,4739.939,TRUE
1/2/16 3:00,RFC,WEST,AEP,AEPAPT,4777.029,TRUE
1/2/16 4:00,RFC,WEST,AEP,AEPAPT,4861.421,TRUE
1/2/16 5:00,RFC,WEST,AEP,AEPAPT,4966.281,TRUE
1/2/16 6:00,RFC,WEST,AEP,AEPAPT,5141.962,TRUE
1/2/16 7:00,RFC,WEST,AEP,AEPAPT,5328.158,TRUE
1/2/16 8:00,RFC,WEST,AEP,AEPAPT,5382.136,TRUE
1/2/16 9:00,RFC,WEST,AEP,AEPAPT,5272.804,TRUE
1/2/16 10:00,RFC,WEST,AEP,AEPAPT,5032.37,TRUE
1/2/16 11:00,RFC,WEST,AEP,AEPAPT,4803.658,TRUE
1/2/16 12:00,RFC,WEST,AEP,AEPAPT,4577.558,TRUE
1/2/16 13:00,RFC,WEST,AEP,AEPAPT,4385.106,TRUE
1/2/16 14:00,RFC,WEST,AEP,AEPAPT,4238.71,TRUE
1/2/16 15:00,RFC,WEST,AEP,AEPAPT,4246.072,TRUE
1/2/16 16:00,RFC,WEST,AEP,AEPAPT,4344.566,TRUE
1/2/16 17:00,RFC,WEST,AEP,AEPAPT,4733.065,TRUE
1/2/16 18:00,RFC,WEST,AEP,AEPAPT,4992.248,TRUE
1/2/16 19:00,RFC,WEST,AEP,AEPAPT,5057.848,TRUE
1/2/16 20:00,RFC,WEST,AEP,AEPAPT,5107.846,TRUE
1/2/16 21:00,RFC,WEST,AEP,AEPAPT,5087.415,TRUE
1/2/16 22:00,RFC,WEST,AEP,AEPAPT,5019.821,TRUE
1/2/16 23:00,RFC,WEST,AEP,AEPAPT,4908.56,TRUE
1/3/16 0:00,RFC,WEST,AEP,AEPAPT,4847.038,TRUE
1/3/16 1:00,RFC,WEST,AEP,AEPAPT,4826.602,TRUE
1/3/16 2:00,RFC,WEST,AEP,AEPAPT,4820.89,TRUE
1/3/16 3:00,RFC,WEST,AEP,AEPAPT,4838.949,TRUE
1/3/16 4:00,RFC,WEST,AEP,AEPAPT,4900.925,TRUE
1/3/16 5:00,RFC,WEST,AEP,AEPAPT,4994.024,TRUE
1/3/16 6:00,RFC,WEST,AEP,AEPAPT,5155.774,TRUE
1/3/16 7:00,RFC,WEST,AEP,AEPAPT,5355.248,TRUE
1/3/16 8:00,RFC,WEST,AEP,AEPAPT,5439.313,TRUE
1/3/16 9:00,RFC,WEST,AEP,AEPAPT,5253.131,TRUE
1/3/16 10:00,RFC,WEST,AEP,AEPAPT,4912.893,TRUE
1/3/16 11:00,RFC,WEST,AEP,AEPAPT,4620.817,TRUE
1/3/16 12:00,RFC,WEST,AEP,AEPAPT,4465.083,TRUE
1/3/16 13:00,RFC,WEST,AEP,AEPAPT,4322.454,TRUE
1/3/16 14:00,RFC,WEST,AEP,AEPAPT,4221.44,TRUE
1/3/16 15:00,RFC,WEST,AEP,AEPAPT,4209.146,TRUE
1/3/16 16:00,RFC,WEST,AEP,AEPAPT,4348.384,TRUE
1/3/16 17:00,RFC,WEST,AEP,AEPAPT,4723.986,TRUE
1/3/16 18:00,RFC,WEST,AEP,AEPAPT,4995.485,TRUE
1/3/16 19:00,RFC,WEST,AEP,AEPAPT,5058.245,TRUE
1/3/16 20:00,RFC,WEST,AEP,AEPAPT,5094.702,TRUE
1/3/16 21:00,RFC,WEST,AEP,AEPAPT,4986.905,TRUE
1/3/16 22:00,RFC,WEST,AEP,AEPAPT,4835.16,TRUE
1/3/16 23:00,RFC,WEST,AEP,AEPAPT,4692.064,TRUE
1/4/16 0:00,RFC,WEST,AEP,AEPAPT,4606.808,TRUE
1/4/16 1:00,RFC,WEST,AEP,AEPAPT,4611.566,TRUE
1/4/16 2:00,RFC,WEST,AEP,AEPAPT,4670.474,TRUE
