"","hour","day","month","year","mw"
"35065",0,1,1,2020,4294.077
"35066",1,1,1,2020,4266.728
"35067",2,1,1,2020,4203.835
"35068",3,1,1,2020,4197.709
"35069",4,1,1,2020,4226.022
"35070",5,1,1,2020,4305.013
"35071",6,1,1,2020,4403.659
"35072",7,1,1,2020,4510.752
"35073",8,1,1,2020,4572.603
"35074",9,1,1,2020,4625.829
"35075",10,1,1,2020,4630.318
"35076",11,1,1,2020,4559.952
"35077",12,1,1,2020,4423.639
"35078",13,1,1,2020,4268.99
"35079",14,1,1,2020,4141.644
"35080",15,1,1,2020,4091.588
"35081",16,1,1,2020,4204.652
"35082",17,1,1,2020,4548.153
"35083",18,1,1,2020,4725.861
"35084",19,1,1,2020,4783.296
"35085",20,1,1,2020,4847.335
"35086",21,1,1,2020,4820.212
"35087",22,1,1,2020,4730.542
"35088",23,1,1,2020,4645.055
"35089",0,2,1,2020,4597.493
"35090",1,2,1,2020,4618.656
"35091",2,2,1,2020,4637.244
"35092",3,2,1,2020,4711.493
"35093",4,2,1,2020,4845.15
"35094",5,2,1,2020,5093.127
"35095",6,2,1,2020,5416.979
"35096",7,2,1,2020,5657.645
"35097",8,2,1,2020,5644.928
"35098",9,2,1,2020,5480.074
"35099",10,2,1,2020,5269.423
"35100",11,2,1,2020,5067.009
"35101",12,2,1,2020,4935.172
"35102",13,2,1,2020,4849.356
"35103",14,2,1,2020,4786.4
"35104",15,2,1,2020,4731.716
"35105",16,2,1,2020,4757.274
"35106",17,2,1,2020,4940.983
"35107",18,2,1,2020,4974.442
"35108",19,2,1,2020,4941.188
"35109",20,2,1,2020,4856.186
"35110",21,2,1,2020,4714.679
"35111",22,2,1,2020,4526.502
"35112",23,2,1,2020,4351.004
"35113",0,3,1,2020,4170.648
"35114",1,3,1,2020,4073.595
"35115",2,3,1,2020,4039.299
"35116",3,3,1,2020,4004.877
"35117",4,3,1,2020,4029.877
"35118",5,3,1,2020,4181.936
"35119",6,3,1,2020,4434.748
"35120",7,3,1,2020,4597.175
"35121",8,3,1,2020,4630.036
"35122",9,3,1,2020,4623.255
"35123",10,3,1,2020,4634.878
"35124",11,3,1,2020,4627.869
"35125",12,3,1,2020,4596.949
"35126",13,3,1,2020,4564.095
"35127",14,3,1,2020,4523.127
"35128",15,3,1,2020,4489.244
"35129",16,3,1,2020,4496.203
"35130",17,3,1,2020,4631.534
"35131",18,3,1,2020,4604.611
"35132",19,3,1,2020,4541.617
"35133",20,3,1,2020,4469.05
"35134",21,3,1,2020,4344.465
"35135",22,3,1,2020,4154.22
"35136",23,3,1,2020,3948.785
"35137",0,4,1,2020,3778.995
"35138",1,4,1,2020,3669.019
"35139",2,4,1,2020,3607.342
"35140",3,4,1,2020,3574.884
"35141",4,4,1,2020,3596.521
"35142",5,4,1,2020,3688.116
"35143",6,4,1,2020,3802.137
"35144",7,4,1,2020,3931.437
"35145",8,4,1,2020,4028.538
"35146",9,4,1,2020,4124.959
"35147",10,4,1,2020,4189.234
"35148",11,4,1,2020,4243.734
